pair,version,quality,workload,fps,cpuP50,cpuP95,gapP95,inputSubmissionP95,uploadKiB
0,baseline,high,opening-touch,59.73810183172232,3.699999999254942,4.5,17.699999999254942,28.5,313.7972371688742
0,baseline,high,revealed-idle,60.00438570260058,6.099999997764826,9.199999999254942,18.800000000745058,,895.001953125
0,baseline,high,revealed-touch,60.02448367099755,6.599999997764826,8,18.099999997764826,24.300000000745058,890.0143721731085
0,baseline,high,revealed-touch-cpu4,28.544202364967298,32.099999997764826,45.80000000074506,49.30000000074506,146.5,890.198540046472
0,candidate,high,opening-touch,59.69740267364331,3,4.5,18,27.5,184.92147797131148
0,candidate,high,revealed-idle,60.08103954172529,3.900000002235174,5.300000000745058,18.199999999254942,,321.302734375
0,candidate,high,revealed-touch,59.57530475815965,5.199999999254942,6.600000001490116,18.399999998509884,30.100000001490116,365.06134617367985
0,candidate,high,revealed-touch-cpu4,40.07077751902053,21.900000002235174,33.19999999925494,36.20000000298023,107.90000000223517,338.85703065724584
0,baseline,medium,opening-touch,59.8282160134268,3.100000001490116,4.5,17.5,28.600000001490116,294.0988165222772
0,baseline,medium,revealed-idle,59.913724237107495,4.5,6.599999997764826,18.5,,802.361328125
0,baseline,medium,revealed-touch,59.95418782989742,5.099999997764826,6.900000002235174,18.5,30.199999999254942,793.9020257994187
0,baseline,medium,revealed-touch-cpu4,28.949970692071787,31.599999997764826,42.80000000074506,46.19999999925494,138.90000000223517,794.0429325251159
0,candidate,medium,opening-touch,59.60756722950977,2.699999999254942,3.900000002235174,18,27.899999998509884,180.38783299180326
0,candidate,medium,revealed-idle,59.97449589542427,3.7000000029802322,4.900000002235174,17.899999998509884,,311.568359375
0,candidate,medium,revealed-touch,60.10309073179389,4.800000000745058,6.100000001490116,17.899999998509884,30.100000001490116,345.0872438948675
0,candidate,medium,revealed-touch-cpu4,56.81507784758263,15.300000000745058,21,25.300000000745058,74.89999999850988,326.10414162660254
0,baseline,clarity,opening-touch,40.07106198183972,4.100000001490116,5.5,26.399999998509884,29.199999999254942,271.4624191810345
0,baseline,clarity,revealed-idle,40.09495122777129,6.300000000745058,8.800000000745058,27.699999999254942,,741.001953125
0,baseline,clarity,revealed-touch,40.07704130271582,5.199999999254942,7.899999998509884,27.099999997764826,37.69999999925494,734.7646579186893
0,baseline,clarity,revealed-touch-cpu4,34.71079643763477,26.200000002980232,34.80000000074506,37.79999999701977,117.60000000149012,734.4476687930046
0,candidate,clarity,opening-touch,39.970363437864435,2.7000000029802322,4.200000002980232,26.399999998509884,28.199999999254942,175.67111280487805
0,candidate,clarity,revealed-idle,40.06298459268109,3.400000002235174,5.100000001490116,26.100000001490116,,311.240234375
0,candidate,clarity,revealed-touch,40.000796035724214,4.899999998509884,6.199999999254942,26.800000000745058,29.599999997764826,339.90449121579604
0,candidate,clarity,revealed-touch-cpu4,39.602082073543556,17.699999999254942,24.900000002235174,30.899999998509884,69,336.5625701721557
1,candidate,high,opening-touch,59.46810170019414,2.899999998509884,3.800000000745058,17.699999999254942,27.600000001490116,184.90211321721313
1,candidate,high,revealed-idle,59.8515681111023,3.599999997764826,4.800000000745058,17.899999998509884,,321.302734375
1,candidate,high,revealed-touch,60.09471882832524,3.900000002235174,5.599999997764826,18.199999999254942,29.5,365.20841525248346
1,candidate,high,revealed-touch-cpu4,52.930903920741315,16.699999999254942,24.5,27.5,84,338.5174241560219
1,baseline,high,opening-touch,59.86722516400154,3.100000001490116,4.600000001490116,17.900000002235174,28.899999998509884,313.84037231848185
1,baseline,high,revealed-idle,59.96282304973597,4.5,6.199999999254942,18.199999999254942,,895.001953125
1,baseline,high,revealed-touch,59.952752466590304,5,6.5,18.399999998509884,29.699999999254942,890.0595250413908
1,baseline,high,revealed-touch-cpu4,32.65354587823316,28.699999999254942,35,37.80000000074506,125.5,889.9983783143939
